=====================================
    NK ENSEMBLE SUMMARY
=====================================

--- Meta-Model Reliance Weights ---
XGB        : 0.3855
LGBM       : 0.1412
RF         : -0.2147
EN         : 0.7079
MLP        : 0.0988
KNN        : 0.0156
Ridge      : -2.1877
SVR        : 0.2744

--- Top 15 Overall Genes (Weighted Ensemble XGB+RF) ---
ENSG00000175868__NK   0.02852
ENSG00000124406__NK   0.01183
ENSG00000215186__NK   0.00744
ENSG00000155974__NK   0.00735
ENSG00000007952__NK   0.00732
ENSG00000163568__NK   0.00689
ENSG00000213020__NK   0.00682
ENSG00000253891__NK   0.00633
ENSG00000286503__NK   0.00582
ENSG00000137288__NK   0.00569
ENSG00000187621__NK   0.00550
ENSG00000167123__NK   0.00542
ENSG00000138363__NK   0.00540
ENSG00000237224__NK   0.00530
ENSG00000275426__NK   0.00530

--- Top 15 Features (ElasticNet - Largest Magnitude) ---
ENSG00000213020__NK   2.50009
ENSG00000156508__NK   1.47567
ENSG00000272592__NK   1.30635
ENSG00000273448__NK   1.23533
ENSG00000259779__NK   1.16531
ENSG00000166819__NK   1.15576
ENSG00000109586__NK   0.93861
ENSG00000254416__NK   0.90572
ENSG00000120820__NK   0.86533
ENSG00000285575__NK   0.85765
ENSG00000184144__NK   0.83381
ENSG00000165125__NK   0.81992
ENSG00000132680__NK   0.79972
ENSG00000271862__NK   0.79183
ENSG00000108262__NK   0.78347

--- Top 15 Genotype PCs (Ridge - Largest Magnitude) ---
pca9         17.47142
pca10         6.85768
pca8          5.65441
pca7          1.56298
pca5          0.91985
pca6          0.59546
pca2          0.59255
sex_binary    0.47651
pca4          0.39191
pca3          0.12148
pca1          0.01405

