Model,Test_Set,MAE,RMSE,R2,Pearson,Spearman
OneK1K_All_Mods_All,OneK1K Test,5.8045839107942605,7.086669812292193,0.8290468975561117,0.9128878168380455,0.884119749295313
OneK1K_All_Mods_All,AIDA Test,13.485961563111735,16.07515606299259,-0.675457793083716,0.037817011758838566,-0.014652337428200466
OneK1K_PB_GF_All,OneK1K Test,5.731025256306878,7.032105927471123,0.8316692732675297,0.9142583465379397,0.8835804938033963
OneK1K_PB_GF_All,AIDA Test,12.956773456312575,15.56690379315896,-0.5711859210454207,-0.44660222912754055,-0.3996744514017262
OneK1K_PB_scGPT_All,OneK1K Test,6.182451876005617,7.496750911661633,0.8086895238805679,0.9012189288750346,0.8709857669777655
OneK1K_PB_scGPT_All,AIDA Test,33.64089588314099,35.31402934707053,-7.085700361309254,0.606437949644837,0.6421119914771721
AIDA_All_Mods_All,OneK1K Test,18.53873232286711,21.668380645491702,-0.5982529054685022,0.45457030560944683,0.38430768552296474
AIDA_All_Mods_All,AIDA Test,5.913227629781068,7.924612680279296,0.5928267990634719,0.771233756770059,0.8030251164951154
AIDA_PB_GF_All,OneK1K Test,36.48680663196697,39.788645225146524,-4.389033635336775,0.15168605225684348,0.19174162341910375
AIDA_PB_GF_All,AIDA Test,6.23942174199683,8.259774287403474,0.5576566981725584,0.7513928581151456,0.7854668196725528
AIDA_PB_scGPT_All,OneK1K Test,16.464586265516928,19.241082991893805,-0.2602352291851029,0.46290606918490845,0.3916498564513687
AIDA_PB_scGPT_All,AIDA Test,6.13615317293346,8.11200739634738,0.5733421190697164,0.758448705869743,0.7845565191393791
Both_All_Mods_All,OneK1K Test,6.868517260916555,8.990821799513942,0.7248361545761716,0.8544524485014218,0.8202646398438334
Both_All_Mods_All,AIDA Test,6.024760006974516,7.755745491410084,0.6099949826397053,0.792991221252438,0.8043730615153921
Both_PB_GF_All,OneK1K Test,6.639397514594348,8.866988227569248,0.7323638006035343,0.8640608292866715,0.8252320125482198
Both_PB_GF_All,AIDA Test,6.516407131363598,8.596125429884601,0.5208973381212443,0.7701177725314454,0.8042505210590033
