Model,Test_Set,MAE,RMSE,R2,Pearson,Spearman
XGB (Pseudobulk),OneK1K Test,6.452134504772368,8.291375743434315,0.7659838750542974,0.8813594601450883,0.8365252669847054
LGBM (Pseudobulk),OneK1K Test,6.329996436800601,8.090641336379802,0.7771777843666967,0.8859744224431059,0.8468800094592979
RF (Pseudobulk),OneK1K Test,7.192597373610967,8.943963815493898,0.7276968549969749,0.8704655402022025,0.8154217107145048
ElasticNet (Pseudobulk),OneK1K Test,6.459220785141424,7.916996241632506,0.7866397714942859,0.886984441640548,0.8506185018599894
MLP (Geneformer),OneK1K Test,8.235088076766816,10.325658035560123,0.6370656564757088,0.8055693794951414,0.7494406901891231
KNN (Geneformer),OneK1K Test,10.307901285131495,13.03597141957488,0.42153193324994775,0.6982504153940352,0.6583324378000084
MLP (scGPT),OneK1K Test,10.555390688077484,13.281799046692807,0.39950914139189586,0.6759600558560038,0.6702064289200966
KNN (scGPT),OneK1K Test,10.334872823375552,13.346697719689873,0.3936264636595239,0.6656554507219822,0.6271074707584484
Ensemble_OneK1K,OneK1K Test,5.804583910794261,7.086669812292197,0.8290468975561116,0.9128878168380455,0.884119749295313
Ensemble_OneK1K,AIDA Test,13.48596156311175,16.07515606299261,-0.6754577930837193,0.03781701175883852,-0.014652337428200466
Ensemble_AIDA,OneK1K Test,18.538732322867112,21.668380645491705,-0.5982529054685024,0.45457030560944667,0.38430768552296474
Ensemble_AIDA,AIDA Test,5.913227629781068,7.9246126802792975,0.5928267990634718,0.7712337567700588,0.8030251164951154
Ensemble_Both,OneK1K Test,6.008478519047288,7.591773101591436,0.8038090231309452,0.8981673307386379,0.8715042818738391
Ensemble_Both,AIDA Test,6.614581402960288,8.270700465149885,0.5564856448138589,0.7934271311852499,0.8045656250897173
